,type,area,bed,bath,toilet,price
257,flat / apartment,Ajah,2 ,2 ,3 ,850000
258,flat / apartment,Ajah,3 ,3 ,3 ,700000
259,flat / apartment,Ajah,2 ,2 ,3 ,900000
260,flat / apartment,Ajah,2 ,2 ,3 ,1300000
261,flat / apartment,Ajah,3 ,3 ,4 ,1200000
262,flat / apartment,Ajah,4 ,4 ,5 ,1500000
263,flat / apartment,Ajah,3 ,3 ,4 ,1500000
264,detached duplex,Ajah,4 ,4 ,5 ,55000000
265,flat / apartment,Ajah,2 ,2 ,3 ,1000000
266,flat / apartment,Ajah,2 ,2 ,3 ,900000
